date,tod,d1,d2,d3
2026-06-07,Midday,7,7,1
2026-06-07,Evening,1,2,7
2026-06-06,Midday,5,6,3
2026-06-06,Evening,5,8,0
2026-06-05,Midday,1,7,8
2026-06-05,Evening,5,7,1
2026-06-04,Midday,7,4,7
2026-06-04,Evening,5,5,1
2026-06-03,Midday,3,5,4
2026-06-03,Evening,1,5,6
2026-06-02,Midday,7,5,7
2026-06-02,Evening,7,1,3
2026-06-01,Midday,7,7,3
2026-06-01,Evening,0,5,0
2026-05-31,Midday,0,7,6
2026-05-31,Evening,0,2,4
2026-05-30,Midday,3,9,8
2026-05-30,Evening,9,7,1
2026-05-29,Midday,1,0,4
2026-05-29,Evening,4,5,7
2026-05-28,Midday,6,3,3
2026-05-28,Evening,8,1,1
2026-05-27,Midday,1,3,4
2026-05-27,Evening,7,2,6
2026-05-26,Midday,0,9,7
2026-05-26,Evening,8,0,0
2026-05-25,Midday,8,4,4
2026-05-25,Evening,3,6,4
2026-05-24,Midday,5,2,9
2026-05-24,Evening,6,6,5
2026-05-23,Midday,4,5,3
2026-05-23,Evening,8,0,7
2026-05-22,Midday,2,2,3
2026-05-22,Evening,5,9,5
2026-05-21,Midday,0,5,0
2026-05-21,Evening,4,3,8
2026-05-20,Midday,5,9,7
2026-05-20,Evening,6,2,6
2026-05-19,Midday,9,1,7
2026-05-19,Evening,3,2,1
2026-05-18,Midday,7,0,7
2026-05-18,Evening,8,4,8
2026-05-17,Midday,2,8,0
2026-05-17,Evening,9,3,2
2026-05-16,Midday,4,5,1
2026-05-16,Evening,0,2,8
2026-05-15,Midday,2,2,0
2026-05-15,Evening,1,3,7
2026-05-14,Midday,1,1,3
2026-05-14,Evening,2,1,1
2026-05-13,Midday,9,5,8
2026-05-13,Evening,5,6,6
2026-05-12,Midday,1,6,2
2026-05-12,Evening,7,3,6
2026-05-11,Midday,4,8,4
2026-05-11,Evening,9,3,7
2026-05-10,Midday,4,5,8
2026-05-10,Evening,1,8,6
2026-05-09,Midday,8,0,4
2026-05-09,Evening,6,8,1
2026-05-08,Midday,8,9,4
2026-05-08,Evening,2,8,7
2026-05-07,Midday,6,1,6
2026-05-07,Evening,5,3,6
2026-05-06,Midday,2,0,2
2026-05-06,Evening,1,8,9
2026-05-05,Midday,8,4,0
2026-05-05,Evening,2,1,2
2026-05-04,Midday,9,6,3
2026-05-04,Evening,0,0,7
2026-05-03,Midday,1,6,4
2026-05-03,Evening,7,4,1
2026-05-02,Midday,4,6,9
2026-05-02,Evening,0,8,9
2026-05-01,Midday,5,4,2
2026-05-01,Evening,5,5,6
