date,tod,d1,d2,d3
2026-06-07,Midday,3,6,7
2026-06-07,Evening,8,7,2
2026-06-06,Midday,0,1,3
2026-06-06,Evening,4,8,4
2026-06-05,Midday,8,2,7
2026-06-05,Evening,6,3,2
2026-06-04,Midday,5,3,4
2026-06-04,Evening,5,0,9
2026-06-03,Midday,3,9,1
2026-06-03,Evening,7,9,3
2026-06-02,Midday,6,1,6
2026-06-02,Evening,7,0,1
2026-06-01,Midday,8,1,8
2026-06-01,Evening,0,7,8
2026-05-31,Midday,8,5,6
2026-05-31,Evening,5,0,4
2026-05-30,Midday,5,2,3
2026-05-30,Evening,4,8,5
2026-05-29,Midday,4,7,3
2026-05-29,Evening,1,2,2
2026-05-28,Midday,5,5,5
2026-05-28,Evening,1,0,2
2026-05-27,Midday,3,3,5
2026-05-27,Evening,0,9,0
2026-05-26,Midday,5,9,9
2026-05-26,Evening,0,0,4
2026-05-25,Midday,1,7,3
2026-05-25,Evening,9,2,3
2026-05-24,Midday,3,0,0
2026-05-24,Evening,8,6,8
2026-05-23,Midday,4,1,3
2026-05-23,Evening,3,3,1
2026-05-22,Midday,4,0,8
2026-05-22,Evening,9,7,9
2026-05-21,Midday,6,1,6
2026-05-21,Evening,6,1,6
2026-05-20,Midday,2,4,4
2026-05-20,Evening,3,2,2
2026-05-19,Midday,0,7,0
2026-05-19,Evening,5,9,9
2026-05-18,Midday,5,4,7
2026-05-18,Evening,4,4,4
2026-05-17,Midday,5,6,6
2026-05-17,Evening,1,5,2
2026-05-16,Midday,0,6,2
2026-05-16,Evening,5,8,9
2026-05-15,Midday,1,5,2
2026-05-15,Evening,8,6,1
2026-05-14,Midday,9,2,6
2026-05-14,Evening,5,6,4
2026-05-13,Midday,4,1,9
2026-05-13,Evening,7,5,0
2026-05-12,Midday,6,8,6
2026-05-12,Evening,5,3,7
2026-05-11,Midday,5,8,6
2026-05-11,Evening,3,1,7
2026-05-10,Midday,8,1,3
2026-05-10,Evening,4,0,1
2026-05-09,Midday,6,6,9
2026-05-09,Evening,0,3,3
2026-05-08,Midday,8,3,2
2026-05-08,Evening,3,3,0
2026-05-07,Midday,8,3,5
2026-05-07,Evening,2,6,3
2026-05-06,Midday,3,1,6
2026-05-06,Evening,4,7,6
2026-05-05,Midday,2,5,3
2026-05-05,Evening,0,0,6
2026-05-04,Midday,8,9,9
2026-05-04,Evening,6,3,0
2026-05-03,Midday,7,4,9
2026-05-03,Evening,1,8,4
2026-05-02,Midday,1,5,5
2026-05-02,Evening,4,2,8
2026-05-01,Midday,7,4,8
2026-05-01,Evening,0,1,9
