date,tod,d1,d2,d3
2026-06-07,Midday,3,5,9
2026-06-06,Midday,0,7,4
2026-06-06,Evening,2,0,7
2026-06-05,Midday,9,6,2
2026-06-05,Evening,1,6,0
2026-06-04,Midday,6,3,2
2026-06-04,Evening,0,8,6
2026-06-03,Midday,8,9,3
2026-06-03,Evening,7,0,9
2026-06-02,Midday,5,5,7
2026-06-02,Evening,0,9,7
2026-06-01,Midday,6,6,7
2026-06-01,Evening,4,4,7
2026-05-31,Midday,9,4,5
2026-05-31,Evening,5,7,0
2026-05-30,Midday,0,7,5
2026-05-30,Evening,5,0,3
2026-05-29,Midday,0,8,8
2026-05-29,Evening,2,3,5
2026-05-28,Midday,0,4,8
2026-05-28,Evening,5,7,6
2026-05-27,Midday,5,1,0
2026-05-27,Evening,4,5,0
2026-05-26,Midday,4,7,0
2026-05-26,Evening,5,8,0
2026-05-25,Midday,7,5,8
2026-05-25,Evening,5,4,5
2026-05-24,Midday,6,5,1
2026-05-24,Evening,7,4,1
2026-05-23,Midday,5,3,9
2026-05-23,Evening,1,7,7
2026-05-22,Midday,5,2,3
2026-05-22,Evening,7,8,5
2026-05-21,Midday,4,6,5
2026-05-21,Evening,8,3,2
2026-05-20,Midday,3,8,8
2026-05-20,Evening,5,4,2
2026-05-19,Midday,8,2,6
2026-05-19,Evening,6,5,2
2026-05-18,Midday,4,4,2
2026-05-18,Evening,1,7,5
2026-05-17,Midday,9,4,8
2026-05-17,Evening,7,3,0
2026-05-16,Midday,1,6,2
2026-05-16,Evening,4,7,0
2026-05-15,Midday,4,0,4
2026-05-15,Evening,3,8,9
2026-05-14,Midday,5,8,9
2026-05-14,Evening,0,3,7
2026-05-13,Midday,9,1,3
2026-05-13,Evening,9,8,4
2026-05-12,Midday,2,5,2
2026-05-12,Evening,6,8,2
2026-05-11,Midday,9,2,7
2026-05-11,Evening,7,3,6
2026-05-10,Midday,1,4,6
2026-05-10,Evening,3,8,4
2026-05-09,Midday,3,6,9
2026-05-09,Evening,4,1,5
2026-05-08,Midday,7,1,0
2026-05-08,Evening,6,0,3
2026-05-07,Midday,9,9,4
2026-05-07,Evening,9,7,0
2026-05-06,Midday,6,5,6
2026-05-06,Evening,8,0,5
2026-05-05,Midday,2,7,0
2026-05-05,Evening,3,4,0
2026-05-04,Midday,7,5,3
2026-05-04,Evening,2,7,5
2026-05-03,Midday,1,7,7
2026-05-03,Evening,1,2,6
2026-05-02,Midday,3,5,4
2026-05-02,Evening,0,9,9
2026-05-01,Midday,0,3,1
2026-05-01,Evening,8,5,0
