date,tod,d1,d2,d3
2026-06-07,Evening,7,8,4
2026-06-06,Evening,1,5,0
2026-06-05,Evening,8,7,9
2026-06-04,Evening,0,7,3
2026-06-03,Evening,5,3,1
2026-06-02,Evening,9,5,9
2026-06-01,Evening,9,9,4
2026-05-31,Evening,6,9,4
2026-05-30,Evening,8,1,0
2026-05-29,Evening,7,8,0
2026-05-28,Evening,3,5,9
2026-05-27,Evening,5,3,7
2026-05-26,Evening,8,1,5
2026-05-25,Evening,0,6,5
2026-05-24,Evening,8,6,8
2026-05-23,Evening,0,3,9
2026-05-22,Evening,7,6,4
2026-05-21,Evening,4,8,0
2026-05-20,Evening,2,9,5
2026-05-19,Evening,8,8,9
2026-05-18,Evening,2,6,0
2026-05-17,Evening,0,5,8
2026-05-16,Evening,8,7,9
2026-05-15,Evening,7,8,0
2026-05-14,Evening,6,6,4
2026-05-13,Evening,2,1,1
2026-05-12,Evening,2,8,5
2026-05-11,Evening,5,9,9
2026-05-10,Evening,8,0,4
2026-05-09,Evening,5,2,4
2026-05-08,Evening,9,9,3
2026-05-07,Evening,9,7,2
2026-05-06,Evening,9,9,5
2026-05-05,Evening,6,2,4
2026-05-04,Evening,8,1,1
2026-05-03,Evening,8,3,2
2026-05-02,Evening,9,3,8
2026-05-01,Evening,1,7,4
