date,tod,d1,d2,d3
2026-06-07,Midday,8,3,1
2026-06-06,Midday,4,2,4
2026-06-06,Evening,2,9,0
2026-06-05,Midday,3,6,1
2026-06-05,Evening,5,5,9
2026-06-04,Midday,3,9,8
2026-06-04,Evening,0,1,7
2026-06-03,Midday,0,4,3
2026-06-03,Evening,7,0,4
2026-06-02,Midday,8,0,6
2026-06-02,Evening,4,2,4
2026-06-01,Midday,8,7,4
2026-06-01,Evening,5,7,6
2026-05-31,Midday,4,1,5
2026-05-31,Evening,2,2,8
2026-05-30,Midday,2,9,0
2026-05-30,Evening,6,8,3
2026-05-29,Midday,9,3,1
2026-05-29,Evening,5,1,5
2026-05-28,Midday,9,6,6
2026-05-28,Evening,5,9,9
2026-05-27,Midday,4,3,6
2026-05-27,Evening,1,4,9
2026-05-26,Midday,6,9,8
2026-05-26,Evening,3,2,7
2026-05-25,Midday,6,2,3
2026-05-25,Evening,2,6,1
2026-05-24,Midday,2,6,1
2026-05-24,Evening,3,3,1
2026-05-23,Midday,0,2,2
2026-05-23,Evening,1,5,7
2026-05-22,Midday,6,0,7
2026-05-22,Evening,6,8,0
2026-05-21,Midday,6,9,4
2026-05-21,Evening,4,2,5
2026-05-20,Midday,0,1,2
2026-05-20,Evening,8,1,8
2026-05-19,Midday,2,8,3
2026-05-19,Evening,5,3,6
2026-05-18,Midday,6,8,2
2026-05-18,Evening,8,7,5
2026-05-17,Midday,6,2,6
2026-05-17,Evening,9,4,4
2026-05-16,Midday,3,8,9
2026-05-16,Evening,0,8,9
2026-05-15,Midday,8,3,2
2026-05-15,Evening,9,6,3
2026-05-14,Midday,9,6,9
2026-05-14,Evening,5,7,1
2026-05-13,Midday,0,7,1
2026-05-13,Evening,0,7,2
2026-05-12,Midday,3,1,6
2026-05-12,Evening,7,7,1
2026-05-11,Midday,9,6,5
2026-05-11,Evening,1,7,1
2026-05-10,Midday,6,2,4
2026-05-10,Evening,6,8,9
2026-05-09,Midday,7,7,8
2026-05-09,Evening,3,9,2
2026-05-08,Midday,0,1,7
2026-05-08,Evening,3,8,8
2026-05-07,Midday,3,3,6
2026-05-07,Evening,7,7,3
2026-05-06,Midday,0,9,2
2026-05-06,Evening,9,8,6
2026-05-05,Midday,6,6,7
2026-05-05,Evening,8,0,5
2026-05-04,Midday,7,5,5
2026-05-04,Evening,8,2,3
2026-05-03,Midday,9,3,5
2026-05-03,Evening,0,6,7
2026-05-02,Midday,2,4,6
2026-05-02,Evening,8,4,9
2026-05-01,Midday,7,0,5
2026-05-01,Evening,0,3,9
