date,tod,d1,d2,d3
2026-06-15,Evening,3,8,8
2026-06-14,Midday,9,1,2
2026-06-14,Evening,0,3,4
2026-06-13,Evening,4,8,0
2026-06-12,Evening,7,1,0
2026-06-11,Evening,7,7,5
2026-06-10,Midday,5,3,3
2026-06-10,Evening,4,7,8
2026-06-09,Midday,1,5,6
2026-06-09,Evening,4,5,7
2026-06-08,Evening,5,7,8
2026-06-07,Midday,9,9,0
2026-06-07,Evening,6,0,7
2026-06-06,Evening,1,1,3
2026-06-05,Evening,9,5,5
2026-06-04,Evening,5,2,1
2026-06-03,Evening,6,9,6
2026-06-02,Evening,9,7,7
2026-06-01,Evening,8,9,9
2026-05-31,Evening,1,8,6
2026-05-30,Evening,3,3,0
2026-05-29,Evening,0,3,3
2026-05-28,Evening,2,3,9
2026-05-27,Evening,7,9,7
2026-05-26,Evening,1,4,8
2026-05-25,Evening,9,9,6
2026-05-24,Evening,9,9,9
2026-05-23,Evening,4,5,5
2026-05-22,Evening,9,6,3
2026-05-21,Evening,4,1,0
2026-05-20,Evening,4,9,0
2026-05-19,Evening,3,5,3
2026-05-18,Evening,7,3,5
2026-05-17,Evening,2,5,0
2026-05-16,Evening,5,9,9
2026-05-15,Evening,0,2,6
2026-05-14,Evening,0,9,4
2026-05-13,Evening,5,7,5
2026-05-12,Evening,2,3,1
2026-05-11,Evening,9,4,6
2026-05-10,Evening,9,5,1
2026-05-09,Evening,3,1,5
2026-05-08,Evening,0,4,1
2026-05-07,Evening,7,0,7
2026-05-06,Evening,7,1,2
2026-05-05,Evening,5,3,2
2026-05-04,Evening,3,2,2
2026-05-03,Evening,1,3,9
2026-05-02,Evening,3,3,0
2026-05-01,Evening,1,0,3
2026-04-30,Evening,2,4,6
2026-04-29,Evening,5,1,7
2026-04-28,Evening,0,9,9
2026-04-27,Evening,2,0,4
2026-04-26,Evening,1,7,7
