date,tod,d1,d2,d3
2026-06-06,Evening,0,3,7
2026-06-05,Evening,0,6,7
2026-06-04,Evening,0,1,6
2026-06-03,Evening,2,9,8
2026-06-02,Evening,2,6,6
2026-06-01,Evening,1,5,1
2026-05-31,Evening,7,5,6
2026-05-30,Evening,6,2,5
2026-05-29,Evening,9,2,8
2026-05-28,Evening,8,2,3
2026-05-27,Evening,0,5,2
2026-05-26,Evening,4,5,7
2026-05-25,Evening,1,2,5
2026-05-24,Evening,4,4,1
2026-05-23,Evening,4,9,9
2026-05-22,Evening,4,5,7
2026-05-21,Evening,5,6,7
2026-05-20,Evening,7,1,6
2026-05-19,Evening,9,6,1
2026-05-18,Evening,2,7,0
2026-05-17,Evening,9,9,9
2026-05-16,Evening,9,6,0
2026-05-15,Evening,3,9,6
2026-05-14,Evening,3,6,0
2026-05-13,Evening,9,9,5
2026-05-12,Evening,2,6,5
2026-05-11,Evening,4,4,2
2026-05-10,Evening,4,8,3
2026-05-09,Evening,3,5,1
2026-05-08,Evening,5,6,1
2026-05-07,Evening,8,2,7
2026-05-06,Evening,3,0,2
2026-05-05,Evening,5,6,3
2026-05-04,Evening,0,1,7
2026-05-03,Evening,2,9,3
2026-05-02,Evening,7,5,3
2026-05-01,Evening,8,3,3
