date,tod,d1,d2,d3
2026-06-07,Midday,7,1,3
2026-06-07,Evening,8,5,0
2026-06-06,Midday,1,9,6
2026-06-06,Evening,4,0,8
2026-06-05,Midday,2,4,4
2026-06-05,Evening,3,2,2
2026-06-04,Midday,0,7,9
2026-06-04,Evening,6,6,2
2026-06-03,Midday,4,0,9
2026-06-03,Evening,4,0,2
2026-06-02,Midday,6,2,1
2026-06-02,Evening,0,2,0
2026-06-01,Midday,1,8,5
2026-06-01,Evening,7,7,1
2026-05-31,Midday,0,4,0
2026-05-31,Evening,3,2,4
2026-05-30,Midday,6,8,8
2026-05-30,Evening,9,7,4
2026-05-29,Midday,6,4,0
2026-05-29,Evening,8,5,3
2026-05-28,Midday,8,2,4
2026-05-28,Evening,0,5,9
2026-05-27,Midday,5,0,3
2026-05-27,Evening,4,1,5
2026-05-26,Midday,4,5,5
2026-05-26,Evening,5,3,1
2026-05-25,Midday,0,8,5
2026-05-25,Evening,0,1,2
2026-05-24,Midday,3,3,5
2026-05-24,Evening,2,8,9
2026-05-23,Midday,6,3,4
2026-05-23,Evening,8,1,8
2026-05-22,Midday,5,5,2
2026-05-22,Evening,7,7,0
2026-05-21,Midday,5,2,1
2026-05-21,Evening,4,4,3
2026-05-20,Midday,6,3,4
2026-05-20,Evening,7,9,4
2026-05-19,Midday,8,3,7
2026-05-19,Evening,9,3,9
2026-05-18,Midday,0,0,4
2026-05-18,Evening,5,0,5
2026-05-17,Midday,0,5,0
2026-05-17,Evening,5,6,9
2026-05-16,Midday,4,6,3
2026-05-16,Evening,6,7,6
2026-05-15,Midday,3,9,7
2026-05-15,Evening,2,2,9
2026-05-14,Midday,2,6,1
2026-05-14,Evening,1,3,2
2026-05-13,Midday,2,6,1
2026-05-13,Evening,7,8,3
2026-05-12,Midday,1,2,0
2026-05-12,Evening,0,9,5
2026-05-11,Midday,5,3,7
2026-05-11,Evening,1,7,4
2026-05-10,Midday,7,2,5
2026-05-10,Evening,9,6,8
2026-05-09,Midday,4,0,0
2026-05-09,Evening,0,1,4
2026-05-08,Midday,4,6,2
2026-05-08,Evening,1,3,0
2026-05-07,Midday,7,3,5
2026-05-07,Evening,4,7,4
2026-05-06,Midday,5,0,9
2026-05-06,Evening,6,9,4
2026-05-05,Midday,8,5,9
2026-05-05,Evening,9,0,5
2026-05-04,Midday,3,0,1
2026-05-04,Evening,1,8,0
2026-05-03,Midday,6,7,2
2026-05-03,Evening,8,0,8
2026-05-02,Midday,9,5,6
2026-05-02,Evening,6,8,9
2026-05-01,Midday,4,0,4
2026-05-01,Evening,9,9,9
