date,tod,d1,d2,d3
2026-06-11,Midday,2,0,6
2026-06-11,Evening,9,3,9
2026-06-10,Midday,4,1,3
2026-06-10,Evening,5,2,9
2026-06-09,Midday,1,9,1
2026-06-09,Evening,4,7,2
2026-06-08,Midday,2,0,1
2026-06-08,Evening,3,7,0
2026-06-07,Midday,7,9,0
2026-06-07,Evening,4,0,3
2026-06-06,Midday,8,7,5
2026-06-06,Evening,3,2,2
2026-06-05,Midday,9,3,1
2026-06-05,Evening,6,2,8
2026-06-04,Midday,8,5,4
2026-06-04,Evening,3,2,7
2026-06-03,Midday,8,5,3
2026-06-03,Evening,6,7,0
2026-06-02,Midday,3,3,8
2026-06-02,Evening,6,9,5
