date,tod,d1,d2,d3
2026-06-07,Midday,5,7,0
2026-06-07,Day,5,7,0
2026-06-06,Midday,4,7,2
2026-06-06,Evening,6,1,1
2026-06-06,Day,4,7,2
2026-06-05,Midday,2,0,4
2026-06-05,Evening,2,1,9
2026-06-05,Day,2,0,4
2026-06-04,Midday,8,8,0
2026-06-04,Evening,6,9,9
2026-06-04,Day,8,8,0
2026-06-03,Midday,7,2,8
2026-06-03,Evening,5,9,9
2026-06-03,Day,7,2,8
2026-06-02,Midday,4,8,0
2026-06-02,Evening,4,4,0
2026-06-02,Day,4,8,0
2026-06-01,Midday,1,8,0
2026-06-01,Evening,1,5,2
2026-06-01,Day,1,8,0
2026-05-31,Midday,9,9,2
2026-05-31,Evening,0,0,1
2026-05-31,Day,9,9,2
2026-05-30,Midday,4,3,5
2026-05-30,Evening,8,3,5
2026-05-30,Day,4,3,5
2026-05-29,Midday,7,7,3
2026-05-29,Evening,0,1,4
2026-05-29,Day,7,7,3
2026-05-28,Midday,7,2,2
2026-05-28,Evening,0,1,6
2026-05-28,Day,7,2,2
2026-05-27,Midday,3,1,1
2026-05-27,Evening,0,7,3
2026-05-27,Day,3,1,1
2026-05-26,Midday,0,9,4
2026-05-26,Evening,1,7,2
2026-05-26,Day,0,9,4
2026-05-25,Midday,5,5,8
2026-05-25,Evening,1,7,4
2026-05-25,Day,5,5,8
2026-05-24,Midday,3,8,4
2026-05-24,Evening,2,9,6
2026-05-24,Day,3,8,4
2026-05-23,Midday,0,6,7
2026-05-23,Evening,2,7,5
2026-05-23,Day,0,6,7
2026-05-22,Midday,9,3,7
2026-05-22,Evening,4,8,4
2026-05-22,Day,9,3,7
2026-05-21,Midday,9,4,0
2026-05-21,Evening,5,4,5
2026-05-21,Day,9,4,0
2026-05-20,Midday,3,2,2
2026-05-20,Evening,3,0,1
2026-05-20,Day,3,2,2
2026-05-19,Midday,5,5,2
2026-05-19,Evening,5,2,4
2026-05-19,Day,5,5,2
2026-05-18,Midday,2,8,3
2026-05-18,Evening,4,9,7
2026-05-18,Day,2,8,3
2026-05-17,Midday,0,5,7
2026-05-17,Evening,9,0,9
2026-05-17,Day,0,5,7
2026-05-16,Midday,6,2,0
2026-05-16,Evening,3,2,2
2026-05-16,Day,6,2,0
2026-05-15,Midday,9,9,5
2026-05-15,Evening,3,6,5
2026-05-15,Day,9,9,5
2026-05-14,Midday,5,6,2
2026-05-14,Evening,8,7,4
2026-05-14,Day,5,6,2
2026-05-13,Midday,6,8,3
2026-05-13,Evening,5,4,3
2026-05-13,Day,6,8,3
2026-05-12,Midday,3,7,4
2026-05-12,Evening,1,1,5
2026-05-12,Day,3,7,4
2026-05-11,Midday,1,9,8
2026-05-11,Evening,0,9,9
2026-05-11,Day,1,9,8
2026-05-10,Midday,0,0,4
2026-05-10,Evening,1,9,0
2026-05-10,Day,0,0,4
2026-05-09,Midday,9,1,7
2026-05-09,Evening,1,8,6
2026-05-09,Day,9,1,7
2026-05-08,Midday,3,5,0
2026-05-08,Evening,5,1,8
2026-05-08,Day,3,5,0
2026-05-07,Midday,3,7,3
2026-05-07,Evening,3,5,8
2026-05-07,Day,3,7,3
2026-05-06,Midday,1,5,8
2026-05-06,Evening,4,5,6
2026-05-06,Day,1,5,8
2026-05-05,Midday,6,8,0
2026-05-05,Evening,9,8,8
2026-05-05,Day,6,8,0
2026-05-04,Midday,0,5,9
2026-05-04,Evening,5,4,0
2026-05-04,Day,0,5,9
2026-05-03,Midday,2,4,4
2026-05-03,Evening,8,7,3
2026-05-03,Day,2,4,4
2026-05-02,Midday,6,6,0
2026-05-02,Evening,0,7,3
2026-05-02,Day,6,6,0
2026-05-01,Midday,0,6,5
2026-05-01,Evening,2,8,8
2026-05-01,Day,0,6,5
