date,tod,d1,d2,d3
2026-06-07,Evening,4,0,9
2026-06-06,Evening,0,1,8
2026-06-05,Evening,5,0,0
2026-06-04,Evening,3,2,5
2026-06-03,Evening,6,3,5
2026-06-02,Evening,1,1,6
2026-06-01,Evening,3,8,5
2026-05-31,Evening,9,3,0
2026-05-30,Evening,1,8,7
2026-05-29,Evening,2,8,3
2026-05-28,Evening,4,5,0
2026-05-27,Evening,5,3,6
2026-05-26,Evening,2,5,2
2026-05-25,Evening,8,4,2
2026-05-24,Evening,3,5,9
2026-05-23,Evening,2,2,9
2026-05-22,Evening,9,2,5
2026-05-21,Evening,7,5,6
2026-05-20,Evening,6,1,1
2026-05-19,Evening,3,7,2
2026-05-18,Evening,4,6,9
2026-05-17,Evening,6,4,1
2026-05-16,Evening,4,3,1
2026-05-15,Evening,6,3,7
2026-05-14,Evening,3,4,0
2026-05-13,Evening,2,4,1
2026-05-12,Evening,9,6,5
2026-05-11,Evening,9,6,8
2026-05-10,Evening,5,5,8
2026-05-09,Evening,8,2,8
2026-05-08,Evening,8,0,5
2026-05-07,Evening,3,6,5
2026-05-06,Evening,8,6,8
2026-05-05,Evening,4,0,3
2026-05-04,Evening,9,3,9
2026-05-03,Evening,2,2,6
2026-05-02,Evening,5,6,0
2026-05-01,Evening,4,0,6
