date,tod,d1,d2,d3
2026-06-07,Midday,0,2,8
2026-06-07,Evening,0,7,9
2026-06-06,Midday,6,7,1
2026-06-06,Evening,6,7,3
2026-06-05,Midday,1,5,7
2026-06-05,Evening,6,0,1
2026-06-04,Midday,0,0,0
2026-06-04,Evening,2,1,5
2026-06-03,Midday,2,0,6
2026-06-03,Evening,3,3,6
2026-06-02,Midday,0,8,7
2026-06-02,Evening,7,6,5
2026-06-01,Midday,8,2,2
2026-06-01,Evening,3,5,3
2026-05-31,Midday,2,7,3
2026-05-31,Evening,7,3,5
2026-05-30,Midday,1,0,6
2026-05-30,Evening,8,4,1
2026-05-29,Midday,7,3,2
2026-05-29,Evening,1,1,5
2026-05-28,Midday,2,7,0
2026-05-28,Evening,3,2,2
2026-05-27,Midday,3,6,9
2026-05-27,Evening,7,1,9
2026-05-26,Midday,7,4,9
2026-05-26,Evening,1,1,4
2026-05-25,Midday,4,9,9
2026-05-25,Evening,3,0,7
2026-05-24,Midday,0,6,0
2026-05-24,Evening,9,8,4
2026-05-23,Midday,4,1,1
2026-05-23,Evening,5,9,6
2026-05-22,Midday,8,7,4
2026-05-22,Evening,3,3,5
2026-05-21,Midday,8,7,5
2026-05-21,Evening,7,5,0
2026-05-20,Midday,5,2,0
2026-05-20,Evening,7,1,0
2026-05-19,Midday,1,6,9
2026-05-19,Evening,2,2,4
2026-05-18,Midday,3,6,5
2026-05-18,Evening,4,7,9
2026-05-17,Midday,7,5,2
2026-05-17,Evening,0,3,0
2026-05-16,Midday,6,1,2
2026-05-16,Evening,4,1,8
2026-05-15,Midday,7,2,3
2026-05-15,Evening,8,8,4
2026-05-14,Midday,5,8,9
2026-05-14,Evening,4,8,6
2026-05-13,Midday,8,1,4
2026-05-13,Evening,7,7,0
2026-05-12,Midday,6,4,0
2026-05-12,Evening,6,3,4
2026-05-11,Midday,0,1,9
2026-05-11,Evening,5,8,9
2026-05-10,Midday,8,6,2
2026-05-10,Evening,7,0,5
2026-05-09,Midday,7,3,2
2026-05-09,Evening,4,2,7
2026-05-08,Midday,3,5,7
2026-05-08,Evening,4,3,4
2026-05-07,Midday,5,8,0
2026-05-07,Evening,1,9,3
2026-05-06,Midday,8,6,7
2026-05-06,Evening,5,8,1
2026-05-05,Midday,2,2,4
2026-05-05,Evening,7,7,7
2026-05-04,Midday,4,1,3
2026-05-04,Evening,9,9,5
2026-05-03,Midday,6,6,9
2026-05-03,Evening,3,2,5
2026-05-02,Midday,3,4,0
2026-05-02,Evening,3,0,8
2026-05-01,Midday,1,8,1
2026-05-01,Evening,2,6,4
