date,tod,d1,d2,d3
2026-06-07,Evening,9,7,9
2026-06-06,Evening,0,7,8
2026-06-05,Evening,0,8,3
2026-06-04,Evening,3,3,2
2026-06-03,Evening,7,4,6
2026-06-02,Evening,2,8,9
2026-06-01,Evening,7,2,2
2026-05-31,Evening,4,9,1
2026-05-30,Evening,1,1,3
2026-05-29,Evening,8,9,5
2026-05-28,Evening,3,5,7
2026-05-27,Evening,8,8,8
2026-05-26,Evening,1,4,3
2026-05-25,Evening,9,5,7
2026-05-24,Evening,2,9,7
2026-05-23,Evening,0,5,5
2026-05-22,Evening,8,5,3
2026-05-21,Evening,0,8,1
2026-05-20,Evening,7,5,9
2026-05-19,Evening,1,3,2
2026-05-18,Evening,9,9,3
2026-05-17,Evening,7,0,8
2026-05-16,Evening,2,6,2
2026-05-15,Evening,8,8,4
2026-05-14,Evening,4,1,3
2026-05-13,Evening,5,0,8
2026-05-12,Evening,8,6,9
2026-05-11,Evening,4,0,1
2026-05-10,Evening,4,1,6
2026-05-09,Evening,1,2,5
2026-05-08,Evening,4,7,8
2026-05-07,Evening,3,6,7
2026-05-06,Evening,8,8,4
2026-05-05,Evening,7,6,6
2026-05-04,Evening,2,6,4
2026-05-03,Evening,0,7,2
2026-05-02,Evening,6,0,8
2026-05-01,Evening,3,0,0
