date,tod,d1,d2,d3
2026-06-06,Midday,6,1,3
2026-06-06,Evening,6,1,3
2026-06-05,Midday,0,6,2
2026-06-05,Evening,0,6,2
2026-06-04,Midday,4,6,7
2026-06-04,Evening,4,6,7
2026-06-03,Midday,6,1,7
2026-06-03,Evening,6,1,7
2026-06-02,Midday,2,7,2
2026-06-02,Evening,2,7,2
2026-06-01,Midday,9,8,6
2026-06-01,Evening,9,8,6
2026-05-30,Midday,5,7,1
2026-05-30,Evening,5,7,1
2026-05-29,Midday,5,9,7
2026-05-29,Evening,5,9,7
2026-05-28,Midday,1,1,3
2026-05-28,Evening,1,1,3
2026-05-27,Midday,0,0,3
2026-05-27,Evening,0,0,3
2026-05-26,Midday,5,8,1
2026-05-26,Evening,5,8,1
2026-05-25,Midday,7,6,5
2026-05-25,Evening,7,6,5
2026-05-23,Midday,5,7,6
2026-05-23,Evening,5,7,6
2026-05-22,Midday,9,7,5
2026-05-22,Evening,9,7,5
2026-05-21,Midday,9,4,7
2026-05-21,Evening,9,4,7
2026-05-20,Midday,2,8,4
2026-05-20,Evening,2,8,4
2026-05-19,Midday,9,4,0
2026-05-19,Evening,9,4,0
2026-05-18,Midday,2,3,6
2026-05-18,Evening,2,3,6
2026-05-16,Midday,9,5,5
2026-05-16,Evening,9,5,5
2026-05-15,Midday,3,5,4
2026-05-15,Evening,3,5,4
2026-05-14,Midday,9,6,0
2026-05-14,Evening,9,6,0
2026-05-13,Midday,8,1,5
2026-05-13,Evening,8,1,5
2026-05-12,Midday,2,7,3
2026-05-12,Evening,2,7,3
2026-05-11,Midday,8,3,8
2026-05-11,Evening,8,3,8
2026-05-09,Midday,3,5,8
2026-05-09,Evening,3,5,8
2026-05-08,Midday,3,0,7
2026-05-08,Evening,3,0,7
2026-05-07,Midday,4,9,9
2026-05-07,Evening,4,9,9
2026-05-06,Midday,5,8,6
2026-05-06,Evening,5,8,6
2026-05-05,Midday,5,7,5
2026-05-05,Evening,5,7,5
2026-05-04,Midday,8,9,1
2026-05-04,Evening,8,9,1
2026-05-02,Midday,0,8,2
2026-05-02,Evening,0,8,2
2026-05-01,Midday,5,9,8
2026-05-01,Evening,5,9,8
