date,tod,d1,d2,d3
2026-06-07,Evening,4,5,8
2026-06-06,Midday,8,0,9
2026-06-06,Evening,8,6,0
2026-06-05,Midday,5,3,2
2026-06-05,Evening,3,1,2
2026-06-04,Midday,1,6,9
2026-06-04,Evening,3,1,2
2026-06-03,Midday,2,9,6
2026-06-03,Evening,2,5,4
2026-06-02,Midday,8,7,6
2026-06-02,Evening,3,8,3
2026-06-01,Midday,0,5,1
2026-06-01,Evening,3,1,3
2026-05-31,Evening,3,9,8
2026-05-30,Midday,1,3,8
2026-05-30,Evening,7,1,4
2026-05-29,Midday,6,1,2
2026-05-29,Evening,7,4,7
2026-05-28,Midday,0,0,4
2026-05-28,Evening,7,5,9
2026-05-27,Midday,0,1,6
2026-05-27,Evening,7,2,9
2026-05-26,Midday,3,9,5
2026-05-26,Evening,6,2,1
2026-05-25,Midday,4,7,2
2026-05-25,Evening,6,4,3
2026-05-24,Evening,7,1,7
2026-05-23,Midday,0,9,1
2026-05-23,Evening,3,8,0
2026-05-22,Midday,8,5,5
2026-05-22,Evening,9,3,9
2026-05-21,Midday,9,1,3
2026-05-21,Evening,2,5,6
2026-05-20,Midday,0,7,7
2026-05-20,Evening,6,0,5
2026-05-19,Midday,5,7,1
2026-05-19,Evening,5,0,1
2026-05-18,Midday,9,0,3
2026-05-18,Evening,5,2,7
2026-05-17,Evening,2,6,3
2026-05-16,Midday,8,4,6
2026-05-16,Evening,7,3,9
2026-05-15,Midday,6,9,2
2026-05-15,Evening,2,3,1
2026-05-14,Midday,6,6,6
2026-05-14,Evening,4,8,2
2026-05-13,Midday,3,4,4
2026-05-13,Evening,2,8,1
2026-05-12,Midday,5,1,3
2026-05-12,Evening,4,2,7
2026-05-11,Midday,2,4,3
2026-05-11,Evening,7,4,6
2026-05-10,Evening,0,4,0
2026-05-09,Midday,8,3,8
2026-05-09,Evening,8,3,6
2026-05-08,Midday,9,2,8
2026-05-08,Evening,2,2,3
2026-05-07,Midday,6,0,9
2026-05-07,Evening,1,6,9
2026-05-06,Midday,8,4,0
2026-05-06,Evening,0,8,7
2026-05-05,Midday,6,0,8
2026-05-05,Evening,3,0,2
2026-05-04,Midday,3,6,4
2026-05-04,Evening,5,2,8
2026-05-03,Evening,8,2,5
2026-05-02,Midday,3,7,2
2026-05-02,Evening,6,7,3
2026-05-01,Midday,8,0,6
2026-05-01,Evening,9,3,5
